"","bad_trigram"
"389","definitely one of"
"390","i watched it"
"391","film i have"
"392","from point a"
"393","i need to"
"394","packed with a"
"395","has to be"
"396","the best films"
"397","so much action"
"398","the action movie"
"399","max is an"
"400","is the most"
"401","point a to"
"402","i watched this"
"403","ever seen in"
"404","see it on"
"405","action movies ever"
"406","is the movie"
"407","road warrior is"
"408","as i can"
"409","that he was"
"410","action movie in"
"411","like mad max"
"412","with the mad"
"413","that the d"
"414","it has so"
"415","roller coaster ride"
"416","sure what to"
"417","to put it"
"418","have seen it"
"419","he did a"
"420","of practical effects"
"421","half of the"
"422","seen it all"
"423","mad max world"
"424","of a plot"
"425","action sequences but"
"426","is charlize theron"
"427","this mad max"
"428","charlize theron was"
"429","piece of a"
"430","he has a"
"431","well as the"
"432","it but the"
"433","theron and nic"
"434","little character development"
"435","movie from the"
"436","than just a"
"437","of the other"
"438","are all very"
"439","comes in the"
"440","so far a"
"441","and practical effects"
"442","is of course"
"443","visuals and a"
"444","of the old"
"445","avengers age of"
"446","the hype i"
"447","this film are"
"448","i think it"
"449","the original movie"
"450","come out of"
"451","a must watch"
"452","to like i"
"453","the other mad"
"454","cause this is"
"455","watching this movie"
"456","by immortan joe"
"457","imperator furiosa charlize"
"458","it is absolutely"
"459","film that i"
"460","in the foreground"
"461","once in a"
"462","it to any"
"463","imperator furiosa i"
"464","played by charlize"
"465","tom hardy was"
"466","on his own"
"467","me if you"
"468","thing from the"
"469","is george miller"
"470","i have a"
"471","heart and soul"
"472","is a non"
"473","max and his"
"474","film is so"
"475","we see max"
"476","to the action"
"477","george miller bring"
"478","being said i"
"479","on the story"
"480","i highly recommend"
"481","the characters i"
"482","that max is"
"483","i am still"
"484","one of his"
"485","flame throwing guitar"
"486","as a very"
"487","a comic book"
"488","i know i"
"489","action but i"
"490","in years  "
"491","it did not"
"492","at all a"
"493","came out i"
"494","no story and"
"495","immortan joe and"
"496","it is more"
"497","and i do"
"498","turn around a"
"499","now that i"
"500","do with the"
"501","for a better"
"502","here they are"
"503","the film not"
"504","as a character"
"505","compared to the"
"506","of the post"
"507","that does not"
"508","to the character"
"509","but the main"
"510","but charlize theron"
"511","lack of story"
"512","to kill him"
"513","to be some"
"514","tom hardy who"
"515","on from a"
"516","joe and his"
"517","the desert and"
"518","post apocalyptic wasteland"
"519","women in a"
"520","in an action"
"521","but thats it"
"522","production design is"
"523","george miller returns"
"524","every aspect of"
"525","this one it"
"526","but mad max"
"527","past  years "
"528","through and through"
"529","action sequences i"
"530","immortan joe the"
"531","to survive a"
"532","worth the wait"
"533","of a truck"
"534","one is a"
"535","during the film"
"536","me and it"
"537","is post apocalyptic"
"538","stop action and"
"539","that tom hardy"
"540","as well  "
"541","ever made i"
"542","of this year"
"543","in a way"
"544","the mel gibson"
"545","i felt i"
"546","george miller the"
"547","on the biggest"
"548","my favorite film"
"549","i didnt really"
"550","on the movie"
"551","led by a"
"552","in the back"
"553","here is so"
"554","that is the"
"555","no real plot"
"556","focus on the"
"557","if it wasnt"
"558","age of ultron"
"559","the breeders are"
"560","is also a"
"561","hardy and the"
"562","the good guys"
"563","miller aus  t"
"564","and trying to"
"565","and you can"
"566","for the characters"
"567","furiosa and the"
"568","make a movie"
"569","it was to"
"570","fun to watch"
"571","max in this"
"572","in spanish  th"
"573","done in the"
"574","by george miller"
"575","the franchise i"
"576","what i think"
"577","to all the"
"578","of the chase"
"579","what the f"
"580","was a bit"
"581","of cinema a"
"582","what they are"
"583","me i was"
"584","full of a"
"585","the film on"
"586","on  mad ma"
"587","ive seen the"
"588","look like the"
"589","to be very"
"590","films ever made"
"591","car chases and"
"592","the action but"
"593","the past  year"
"594","thank you george"
"595","midst of a"
"596","what makes this"
"597","there would be"
"598","i would love"
"599","after watching this"
"600","in such a"
"601","metropolis is a"
"602","what mad max"
"603","as mel gibson"
"604","is what a"
"605","is beyond me"
"606","so far this"
"607","that we can"
"608","to go back"
"609","effects and a"
"610","way and i"
"611","as a man"
"612","to create the"
"613","in the title"
"614","that there wasnt"
"615","but i think"
"616","mel gibson and"
"617","at and the"
"618","is easily the"
"619","a george miller"
"620","s when it"
"621","a blood bag"
"622","of the citadel"
"623","this case i"
"624","the first three"
"625","on film this"
"626","care about the"
"627","charlize therons furiosa"
"628","that charlize theron"
"629","and if you"
"630","catch your breath"
"631","the film with"
"632","is on a"
"633","the special effect"
"634","max is in"
"635","me mad max"
"636","mad max but"
"637","mad max it"
"638","in and the"
"639","could have used"
"640","amazing action scenes"
"641","of action movie"
"642","how this movie"
"643","is a chase"
"644","a car chase"
"645","practical effects and"
"646","story or character"
"647","action scenes were"
"648","visual effects are"
"649","all its a"
"650","screen with a"
"651","of  hands dow"
"652","max is the"
"653","may not be"
"654","you havent seen"
"655","the real star"
"656","the best mad"
"657","a masterpiece of"
"658","movie of  s"
"659","the best ive"
"660","at its best"
"661","watching mad max"
"662","for two hours"
"663","miller and his"
"664","what all the"
"665","is an incredible"
"666","george miller was"
"667","strapped to the"
"668","miller is a"
"669","fury road we"
"670","the screen with"
"671","a chase movie"
"672","mad max to"
"673","this film be"
"674","the fury road"
"675","me for the"
"676","even if you"
"677","is an amazing"
"678","to drive the"
"679","is an absolute"
"680","is two hours"
"681","first two mad"
"682","came out of"
"683","george miller and"
"684","action movie ive"
"685","very well done"
"686","the car chase"
"687","all time i"
"688","with the film"
"689","where was the"
"690","of action but"
"691","but fury road"
"692","an attempt to"
"693","two hour car"
"694","practical stunts and"
"695","for an action"
"696","writerdirector george miller"
"697","for this one"
"698","chase scene a"
"699","two mad max"
"700","the guitar guy"
"701","tom hardy charlize"
"702","a man of"
"703","say that this"
"704","possibly the best"
"705","a great film"
"706","action movie a"
"707","not see the"
"708","of the summer"
"709","dont care about"
"710","on fury road"
"711","best movies of"
"712","is what happens"
"713","visually spectacular but"
"714","captured by the"
"715","movie is an"
"716","action films ive"
"717","car chase movie"
"718","hype was about"
"719","movies of all"
"720","i had no"
"721","seen the original"
"722","put into the"
"723","max is back"
"724","this may be"
"725","entire movie is"
"726","in a world"
"727","the action was"
"728","everything you need"
"729","by the war"
"730","of the top"
"731","you on the"
"732","if youre into"
"733","an action masterpiece"
"734","greatest action film"
"735","the hype was"
"736","huge fan of"
"737","lots of action"
"738","a huge fan"
"739","this is how"
"740","oh what a"
"741","well worth the"
"742","on action and"
"743","to see some"
"744","to it but"
"745","of cgi and"
"746","times but i"
"747","installment in the"
"748","to the first"
"749","max movie it"
"750","action film in"
"751","the chase and"
"752","does seem to"
"753","serves as a"
"754","those who can"
"755","is on the"
"756","at all it"
"757","fury road sets"
"758","road and its"
"759","ive seen it"
"760","hardy who i"
"761","the other films"
"762","have a great"
"763","favorite action movie"
"764","film you will"
"765","doesnt need to"
"766","mad max has"
"767","no doubt a"
"768","i knew it"
"769","when you do"
"770","and go back"
"771","will never get"
"772","what i mean"
"773","its hard to"
"774","fury road feels"
"775","only film that"
"776","were a few"
"777","as a huge"
"778","characters or the"
"779","is even more"
"780","science fiction film"
"781","movies is that"
"782","the best character"
"783","my wife and"
"784","max is just"
"785","me that i"
"786","but george miller"
"787","slows down a"
"788","as it gets"
"789","old mad max"
"790","and have a"
"791","made it a"
"792","the stunts are"
"793","of the future"
"794","world of a"
"795","so well choreographed"
"796","you know the"
"797","of george millers"
"798","i love a"
"799","in action film"
"800","as imperator furiosa"
"801","the impact of"
"802","performance as max"
"803","films of all"
"804","max tom hardy"
"805","say this film"
"806","that was a"
"807","film of  i"
"808","of action movies"
"809","the five wives"
"810","not be disappointed"
"811","with its own"
"812","character with a"
"813","action and the"
"814","one long car"
"815","old george miller"
"816","the chase scenes"
"817","played by tom"
"818","character development is"
"819","for the eye"
"820","sight to behold"
"821","it wasnt for"
"822","charlize theron plays"
"823","its refreshing to"
"824","fury road no"
"825","at such a"
"826","of an old"
"827","action movie the"
"828","not that i"
"829","is essentially one"
"830","postapocalyptic world and"
"831","a bad thing"
"832","of max i"
"833","nonstop action and"
"834","hard to follow"
"835","another mad max"
"836","a good story"
"837","war boys who"
"838","yourself in a"
"839","clear picture of"
"840","a fun action"
"841","to the series"
"842","my favorite movie"
"843","piece of cinema"
"844","and they are"
"845","hope for a"
"846","movies these days"
"847","there wasnt enough"
"848","as max he"
"849","is just as"
"850","end this film"
"851","to kill himself"
"852","of immortan joe"
"853","just one big"
"854","in the main"
"855","and the characters"
"856","makes the movie"
"857","or in this"
"858","to the hype"
"859","world but the"
"860","a while the"
"861","this film as"
"862","a clear picture"
"863","him as a"
"864","in the original"
"865","in the whole"
"866","it is you"
"867","but still a"
"868","lack of an"
"869","be a great"
"870","in which the"
"871","a story to"
"872","led by immortan"
"873","nothing short of"
"874","a story that"
"875","times in the"
"876","movie like the"
"877","furiosa fury road"
"878","so that we"
"879","the previous films"
"880","of max rockatansky"
"881","would be more"
"882","in it i"
"883","tom hardy plays"
"884","failed to protect"
"885","film ever made"
"886","that is only"
"887","between furiosa and"
"888","going on and"
"889","of joes war"
"890","or action movie"
"891","which is why"
"892","is just so"
"893","it mad max"
"894","felt that the"
"895","the only real"
"896","the female characters"
"897","has the same"
"898","action and chase"
"899","i will be"
"900","give you a"
"901","it will take"
"902","an action flick"
"903","and not a"
"904","the level of"
"905","the real world"
"906","at least it"
"907","is a complete"
"908","appears to be"
"909","the citadel a"
"910","film as a"
"911","i started to"
"912","theron is also"
"913","every action scene"
"914","and fury road"
"915","you like car"
"916","que he visto"
"917","much more than"
"918","to the characters"
"919","mad max series"
"920","one of joes"
"921","be an understatement"
"922","is a brilliant"
"923","if there is"
"924","fight for gas"
"925","i was blown"
"926","where they are"
"927","see the other"
"928","vision of the"
"929","to be bad"
"930","the characters or"
"931","is the film"
"932","so great i"
"933","a strong female"
"934","action movies ive"
"935","its just a"
"936","sequences and the"
"937","people who have"
"938","in the series"
"939","the decade a"
"940","while being chased"
"941","what i want"
"942","to the world"
"943","much more to"
"944","movie charlize theron"
"945","it is really"
"946","like a real"
"947","he was no"
"948","and then there"
"949","action film of"
"950","as a big"
"951","to live in"
"952","is easy to"
"953","expect from a"
"954","they have to"
"955","but at least"
"956","keeps you on"
"957","what a summer"
"958","to see more"
"959","imperator furiosa is"
"960","is sort of"
"961","sure if it"
"962","hardy is the"
"963","a perfect film"
"964","about the mad"
"965","at times it"
"966","was the story"
"967","far the best"
"968","movie has a"
"969","s or something"
"970","sure what the"
"971","this is your"
"972","as a new"
"973","it all to"
"974","ever made it"
"975","only people who"
"976","so much  "
"977","max but i"
"978","action thriller that"
"979","modern action film"
"980","again and again"
"981","light on story"
"982","the two hour"
"983","great about it"
"984","was blown away"
"985","guitar guy is"
"986","entire movie and"
"987","charlize theron who"
"988","they were in"
"989","in this world"
"990","of the car"
"991","being pursued by"
"992","as the film"
"993","i found the"
"994","years after the"
"995","such as the"
"996","any of them"
"997","of nicholas hoult"
"998","the end this"
"999","tom hardy has"
"1000","the movie would"
"1001","is it i"
"1002","apocalyptic world where"
"1003","movie and the"
"1004","is to be"
"1005","action scenes in"
"1006","that went into"
"1007","this movie no"
"1008","pretty much everything"
"1009","visuals and the"
"1010","as the main"
"1011","was a fun"
"1012","not one of"
"1013","from a mad"
"1014","road warrior and"
"1015","any sort of"
"1016","in fact the"
"1017","man of few"
"1018","watching this on"
"1019","road sets a"
"1020","it off i"
"1021","fury road as"
"1022","we meet the"
"1023","is probably the"
"1024","me and a"
"1025","this movie got"
"1026","max he is"
"1027","road warrior was"
"1028","action film this"
"1029","to where the"
"1030","and violence i"
"1031","used to create"
"1032","acting is great"
"1033","then this is"
"1034","for  years "
"1035","to the whole"
"1036","a character that"
"1037","beyond thunderdome a"
"1038","a war boy"
"1039","of few words"
"1040","and all its"
"1041","fury road may"
"1042","as the original"
"1043","of course but"
"1044","to a world"
"1045","back in the"
"1046","that george miller"
"1047","with the action"
"1048","of what the"
"1049","i guess the"
"1050","is so well"
"1051","lot of time"
"1052","ever put to"
"1053","action scenes  "
"1054","film would be"
"1055","and it will"
"1056","the postapocalyptic world"
"1057","never lets up"
"1058","as nux a"
"1059","felt like a"
"1060","is where i"
"1061","it falls short"
"1062","on and its"
"1063","the way and"
"1064","boils down to"
"1065","movie this movie"
"1066","movie and more"
"1067","a movie like"
"1068","into this film"
"1069","but i am"
"1070","character development it"
"1071","that is all"
"1072","george miller who"
"1073","a movie which"
"1074","time fury road"
"1075","of that the"
"1076","what george miller"
"1077","scene in the"
"1078","is a man"
"1079","in lieu of"
"1080","movie  mad ma"
"1081","you george miller"
"1082","why this is"
"1083","story and i"
"1084","in this we"
"1085","the action  "
"1086","deserves all the"
"1087","and in this"
"1088","action set pieces"
"1089","the old mad"
"1090","i was so"
"1091","the last  year"
"1092","his world the"
"1093","action thrill ride"
"1094","nd in the"
"1095","some of it"
"1096","way through it"
"1097","hoult as nux"
"1098","but what i"
"1099","he is no"
"1100","the silent era"
"1101","is a post"
"1102","close to the"
"1103","action sequences ever"
"1104","tons of action"
"1105","the alltime great"
"1106","movie would be"
"1107","it is an"
"1108","hugh keaysbyrne a"
"1109","just to look"
"1110","i look forward"
"1111","yourself a favor"
"1112","is what i"
"1113","with furiosa a"
"1114","and with a"
"1115","for the past"
"1116","and the set"
"1117","cirque du sole"
"1118","for his character"
"1119","to a minimum"
"1120","his post apocalyptic"
"1121","at the start"
"1122","that sets the"
"1123","giving it a"
"1124","well done movie"
"1125","character of max"
"1126","feel for the"
"1127","great job of"
"1128","scene where a"
"1129","female action hero"
"1130","you have never"
"1131","all the other"
"1132","film can be"
"1133","played by the"
"1134","the style of"
"1135","but if i"
"1136","character of furiosa"
"1137","max it is"
"1138","dont get the"
"1139","to take the"
"1140","over the years"
"1141","to george millers"
"1142","since the road"
"1143","in its own"
"1144","action films the"
"1145","and happy feet"
"1146","an emotional connection"
"1147","george miller can"
"1148","was the most"
"1149","imperator furiosa a"
"1150","wanted him to"
"1151","or most of"
"1152","a way that"
"1153","back with a"
"1154","it is being"
"1155","chase movie with"
"1156","the original in"
"1157","at some point"
"1158","her way to"
"1159","the new mad"
"1160","whole movie is"
"1161","world in which"
"1162","in an attempt"
"1163","a triumph of"
"1164","action is a"
"1165","effects which are"
"1166","one or a"
"1167","i expected i"
"1168","you havent already"
"1169","it all i"
"1170","this movie with"
"1171","need to watch"
"1172","around and go"
"1173","the whole film"
"1174","plot and character"
"1175","has so much"
"1176","this movie would"
"1177","everyone else i"
"1178","and action scene"
"1179","movie like this"
"1180","the majority of"
"1181","the desert i"
"1182","hardy as max"
"1183","an instant classic"
"1184","he was a"
"1185","it looks a"
"1186","mad max you"
"1187","as opposed to"
"1188","know what i"
"1189","and everything that"
"1190","is i can"
"1191","take a breath"
"1192","turn around and"
"1193","but this new"
"1194","way to put"
"1195","that you are"
"1196","the original series"
"1197","action film and"
"1198","is a little"
"1199","in is a"
"1200","even better i"
"1201","which is what"
"1202","she does a"
"1203","the absence of"
"1204","do yourself a"
"1205","would like to"
"1206","more about the"
"1207","i think he"
"1208","it out of"
"1209","top action sequences"
"1210","long chase scene"
"1211","therons character i"
"1212","max film a"
"1213","and a lot"
"1214","story but i"
"1215","story and characters"
"1216","in for a"
"1217","on the war"
"1218","and how i"
"1219","and lots of"
"1220","on practical effects"
"1221","a fine job"
"1222","titular character i"
"1223","mad max  th"
"1224","a story  "
"1225","of course it"
"1226","seems to have"
"1227","and the dark"
"1228","mad max fans"
"1229","in action movie"
"1230","are out of"
"1231","acting was great"
"1232","me for a"
"1233","spoon fed dialogue"
"1234","great to see"
"1235","a character i"
"1236","but i need"
"1237","to follow the"
"1238","if you do"
"1239","the stunt work"
"1240","in d  "
"1241","there is not"
"1242","is so in"
"1243","a postapocalyptic world"
"1244","a sight to"
"1245","find a lot"
"1246","it gets a"
"1247","of the hi"
"1248","two hour chase"
"1249","out of an"
"1250","mad max or"
"1251","movie is just"
"1252","it makes a"
"1253","in the opening"
"1254","familiar with the"
"1255","so far i"
"1256","is not to"
"1257","action sequence to"
"1258","like the film"
"1259","well choreographed and"
"1260","a movie of"
"1261","and even the"
"1262","the only film"
"1263","to develop the"
"1264","and a good"
"1265","a few things"
"1266","on this movie"
"1267","make this movie"
"1268","the best movies"
"1269","in the real"
"1270","the first thing"
"1271","little bit o"
"1272","almost the entire"
"1273","your seat a"
"1274","some time it"
"1275","george miller brings"
"1276","work of art"
"1277","they make a"
"1278","that it does"
"1279","and the only"
"1280","in the beginning"
"1281","in my life"
"1282","or any of"
"1283","lot of fun"
"1284","not much of"
"1285","through the desert"
"1286","with so much"
"1287","chase scene  "
"1288","wife and i"
"1289","mel gibson but"
"1290","didnt have a"
"1291","effects and stunt"
"1292","characters are all"
"1293","are trying to"
"1294","character in this"
"1295","of a big"
"1296","the special effects"
"1297","scenes are a"
"1298","the original films"
"1299","of action i"
"1300","max trilogy i"
"1301","great job with"
"1302","i can say"
"1303","for me  "
"1304","non stop action"
"1305","summer action flick"
"1306","time and i"
"1307","more than one"
"1308","from the opening"
"1309","like it a"
"1310","thrill ride a"
"1311","no matter how"
"1312","is almost a"
"1313","the sound track"
"1314","that can only"
"1315","ill have to"
"1316","so it was"
"1317","is a two"
"1318","a dull moment"
"1319","a half hour"
"1320","has to offer"
"1321","lost none of"
"1322","is that a"
"1323","not just in"
"1324","ride of a"
"1325","watch it again"
"1326","have seen a"
"1327","and great performance"
"1328","will be so"
"1329","my opinion and"
"1330","of a ride"
"1331","more to do"
"1332","make this a"
"1333","action movies that"
"1334","i regret not"
"1335","one thing i"
"1336","to end it"
"1337","from tom hardy"
"1338","a to b"
"1339","at the movies"
"1340","this is so"
"1341","but max is"
"1342","blood bag for"
"1343","nicholas hoult as"
"1344","like it but"
"1345","and it does"
"1346","a  year ol"
"1347","was charlize theron"
"1348","probably the best"
"1349","say that it"
"1350","all at once"
"1351","like this is"
"1352","action sequences to"
"1353","of its genre"
"1354","he failed to"
"1355","seen this year"
"1356","which is to"
"1357","to show that"
"1358","la mejor pelãcula"
"1359","i just did"
"1360","to catch your"
"1361","action mad max"
"1362","recommend it to"
"1363","i liked that"
"1364","the front of"
"1365","if there was"
"1366","go back to"
"1367","lawrence of arabia"
"1368","hard for me"
"1369","if you did"
"1370","stop action thrill"
"1371","there will be"
"1372","man of little"
"1373","out in theaters"
"1374","is in a"
"1375","almost had a"
"1376","full of action"
"1377","all the movie"
"1378","is all about"
"1379","a world where"
"1380","the past decade"
"1381","road is definitely"
"1382","movie ever  "
"1383","best films of"
"1384","of little words"
"1385","star of the"
"1386","of the alltime"
"1387","worst movie ever"
"1388","mejor pelãcula de"
"1389","a breath of"
"1390","george miller really"
"1391","after all the"
"1392","car chase but"
"1393","reminds me of"
"1394","the film but"
"1395","who have never"
"1396","time and the"
"1397","escenas de acciãn"
"1398","he was trying"
"1399","movie of  i"
"1400","hour chase scene"
"1401","hardy and theron"
"1402","after watching it"
"1403","seen i dont"
"1404","stunts and effects"
"1405","the face of"
"1406","i love the"
"1407","great but the"
"1408","a modern action"
"1409","actors in this"
"1410","blew me away"
"1411","an extremely entertaining"
"1412","a masterpiece  "
"1413","an exercise in"
"1414","miller has given"
"1415","with fury road"
"1416","every second of"
"1417","i really had"
"1418","i just watch"
"1419","havent seen the"
"1420","now this is"
"1421","even come close"
"1422","a great experience"
"1423","not understand how"
"1424","the film itself"
"1425","is one long"
"1426","is a sequel"
"1427","has managed to"
"1428","of a lot"
"1429","it to anyone"
"1430","movie is shot"
"1431","understand how this"
"1432","this is all"
"1433","came out in"
"1434","across the screen"
"1435","to say this"
"1436","even in the"
"1437","and say i"
"1438","best ive ever"
"1439","to the front"
"1440","is everything you"
"1441","what a movie"
"1442","im not even"
"1443","for some time"
"1444","come close to"
"1445","chase through the"
"1446","when you see"
"1447","action with a"
"1448","road george millers"
"1449","was really really"
"1450","be even better"
"1451","say this movie"
"1452","believe that this"
"1453","quite as good"
"1454","this movie on"
"1455","with a plot"
"1456","possibly of all"
"1457","we do not"
"1458","pelãcula de acciãn"
"1459","so far of"
"1460","the only people"
"1461","i enjoyed every"
"1462","was actually a"
"1463","if i had"
"1464","worth the price"
"1465","up for the"
"1466","the rotten tomatoes"
"1467","out of retirement"
"1468","while the film"
"1469","is the star"
"1470","miller has returned"
"1471","fury road with"
"1472","the epitome of"
"1473","to see mad"
"1474","long time the"
"1475","the original three"
"1476","it to see"
"1477","have no idea"
"1478","an action packed"
"1479","movie is about"
"1480","was never a"
"1481","the actors in"
"1482","first time seeing"
"1483","but this has"
"1484","a lovely film"
"1485","packed with action"
"1486","the last film"
"1487","in the history"
"1488","see mad max"
"1489","the heart of"
"1490","i almost had"
"1491","watch it and"
"1492","now and the"
"1493","was by far"
"1494","of action scenes"
"1495","front of a"
"1496","of  and on"
"1497","the film looks"
"1498","a milestone in"
"1499","did not see"
"1500","just one of"
"1501","road is every"
"1502","pure action and"
"1503","better with each"
